stars,text
5,"So I was in Madison the other day picking up my carpooler near the East Town Mall and I admit....I was trying to find anything that would give me a caffeine buzz....okay I admit it, I was seeking out a Starbucks because at this point....Anything will do!! 
I Yelped Coffee Shops nearby and got this little gem! Too cute! Coffee was awesome and also got a bagel to go. The scene inside was comfy and cozy, too bad I had to jet, otherwise I would have enjoyed sipping on my java inside instead of on the highway! I am happy I know about this place tucked back off the well beaten path!"
5,"i agree with kelly. the staff is really knowledgeable about their wines and i love the variety. the atmosphere is excellent. depending on when you go, you can get good baristas or not-so-good baristas. but when you get a good one, the whole place is absolutely fabulous."
1,"Extremely poor service and attitude!  I had a reservation for a Saturday night using the Groupon offer that expires in a few days and is only good for Saturdays.
They refused to accept it even though they accepted the reservation knowing I had a Groupon.  Their attitude was terrible!  I would never attempt to go there again."
1,"Service was not good, they forgot about us after our dinner was served. Chips tasted stale."
1,"I took my BMW here because the dealership I purchased it from (used) took it here to have an oil leak repaired.  First off, the oil leak was ""repaired"" only to find out later that it really wasn't.  Turns out there was a slit (cut) in the valve cover gasket, which either occurred when this shop put the part in, or they purchased it with the defect, but either way, the problem was missed on their part, which tells me they do not pay attention to detail.  

So, when we noticed the leak was still an issue, it was under warranty through this shop for the original work, so I took it back.  I spent a few hours waiting since I live in the far east valley, they did repair it, however later that day my ""service engine"" light came on, then went off.  A few days later, I parked my car, turned it off, and went to start it again after picking up my mail, and the car would not start.  Thankfully, my husband is a mechanic (the only reason he did not fix the oil leak the 2nd time around was because it was under warranty), we towed my vehicle back to my house, which was only down the road, but it was dead.  Come to find out, the cam positioning sensor had not been plugged back into the vehicle all the way, which is what tripped my ""service engine"" light a couple of days before, and once it became looser over the course of driving the vehicle, the vehicle finally wouldn't start.  My husband plugged this in completely (like it should have been doen at the shop after fixing the oil leak), and there have been zero issues since.

Now, I'm not sure if this shop did this on purpose, or if they just do not pay attention to detail very well.  But, given that something as simple as an oil leak required TWO visits due to a part that they either didn't notice was defective or they messed up themselves, and then they did not finish putting the vehicle back together when they were finished, I am not very happy.  On top of it, I had to have my vehicle towed (thank goodness for towing on my insurance!), and had to deal with a dead vehicle when my school aged son, and I were both sick at the time.

I would NEVER recommend this shop to anyone, I will never ever go back, and I also intend on notifying the dealership I purchased my vehicle from of the issues in the hopes that they choose another BMW shop in the future to service any used BMW's that come onto their lot.  What a complete and utter nightmare."
1,"A good friend and I were in downtown Phoenix at lunchtime.  I was excited we might eat at one of my favorites along Central (Postino, Fez, Windsor).  But, since it was really my friend's day, when she asked about restaurants, I deferred, ""What did you have in mind?""  She said ""How about The Old Spaghetti Factory"".  I tried not to let my lip curl in disgust (I dislike all chain Italian restaurants).  But, again, deferring to her, I said ""Sure, I always like to try new places."" 

We were seated fairly promptly.  The decor was kitschy, but we had a nice table with comfy chairs.  Our waiter brought bread and took our drink order.  I asked if their iced tea was caffeine free, he said ""Oh yes, we brew it ourselves.""  WHAT?!?.  Just because they brew it instead of taking it from a soda gun doesn't guarantee it's caffeine free.

Having been there before, my friend knew she wanted the lasagna.  Being Italian, I never order lasagna in restaurants as I know mine is better ( I make 2 kinds of lasagna, regular that just takes a few hours, and then the grand dame,  lasagna bolognese, which takes 2 days, with all the braising and creating 2 separate sauces).  I had a bad vibe theirs wouldn't hold a candle to even my ""lazy"" lasagna.  I chose spaghetti with mizithra and brown butter, supposedly their signature dish.  All entrees come with bread, soup or salad, and tea or coffee.

Our waiter took our order.  My friend asked for the lunch portion of lasagna.  The waiter replied ""Oh, we don't have lunch portions of the lasagna, just dinner size."".  My first thought: it's FROZEN.  My second thought: nice way to up-sell buddy.  She had cream of broccoli soup and I had salad with pesto ranch on the side.  Our waiter delivered the soup and salad, but forgot the dressing.  He said he'd be right back with it.  When we flagged him down 5 minutes later, he was surprised I had no dressing, saying ""I told the busboy to bring it to you.""  This must have been the same busboy who was so busy doing anything but his job that a nearby table remained uncleared during our entire meal.  Soon, he dropped off a small silver dish containing a pesto ranch popsicle.  Yes, the dressing was FROZEN.  I had to stir it so it would thaw enough to pour.  The salad was a big plate of pedestrian iceberg, cabbage and carrots with packaged croutons that appeared as if they had been chopped in half to stretch them.

My friend was sorely disappointed with her lasagna, saying it didn't taste like she remembered from past visits.  I told her it was probably because it was frozen pre-packaged, which was why they couldn't cut it into lunch portions.  My spaghetti with mizithra was so bland, I'm sure any finicky toddler or nursing home patient with a digestive disorder could have tolerated it (and I'm not insulting seniors or anyone with digestive issues, as my husband suffers from one, I'm just commenting on the utter lack of flavor in this dish).  Where's the garlic?  Where's the nutty goodness of brown butter?  I don't think what they used ever came from a cow, I'm quite sure it was industrial grade margarine.  

Sadly, even their bread wasn't all that flavorful.  It looked and smelled good when it first arrived hot to the table, but shortly after, it seemed extremely flavorless and the ""butter"" added nothing.

All I could think was ""Robert Irvine would have a field day trying to fix this place on Restaurant:  Impossible!"", then I remembered he doesn't work with chains.  As Daniel D alluded, Olive Garden would have been a better choice."
1,I purchased the living social deal for the six organic pedicures. I had a very hard time scheduling an apt. When I finally did get in the experience was horrible. I was expecting a massage chair or something similar but was seated in a hard high back chair that you needed to put pillows behind your back to try to get comfortable. The experience was strange because they use an aloe jelly that makes you think that you are sticking your feet in a big bowl of green jello. That part honestly was weird but not bad just squishy :) . The bad part was the mud and salt scrub that left my legs raw and red. The pedicure ended with them putting my shoes back on to paint my toes. It was a strange and uncomfortable pedicure to be sure but the lady who performed it was very nice so I did tip her. Unlike the front desk help who would rather be on their personal phones talking about Face Book instead of check me out in a timely manner. I wrote a review before but it was taken down so I'm hoping there isn't anything here that is too much. This was just my experience and I'm happy to say I will not be going back.
1,"Food is good but the bartender Stephanie is rude and ignores customers but caters to the regulars,  it seems like she hates her job and is miserable,  poor management and not so friendly employees,   I called and left a message to speak to Christo or wife Gloria but of course manager intercepted the message so I never received a call back from either,  I hope that Christo would read  these reviews him self so he knows what goes on when he""s not around.  I will never return or refer anyone and will make sure to let everyone know how rude u employees are specially bartender Stephanie...."
5,"Despite being around for 20 years now, US Airways Center remains a great place to see a game, concert, or other special event.

I've been here numerous times over the years and always had a great time. Most recently I attended the Fleetwood Mac concert and before that a Suns-Pacers Game.

There's really not a bad seat in the house, restrooms and food are conveniently located throughout the building and while the ladies room often has a line at the end of an event, when everyone is leaving at once, according to my wife, its generally not too bad.

Unlike other cities that built arenas on the cheap and now have to shell out hundreds of millions of dollars to build new arenas or risk losing their team (cough, cough, Sacramento), Phoenix should be proud that US Airways Center was built right to begin with and the City has continued to maintain and make improvements throughout its history. 

Now if the Suns can just turn things around..."
1,Cool historic building but the service at lunch today was mediocre at best and stay away from the Chicken Parmigiana unless you like fishy tasting chicken.  The best part of my experience was the bread and butter.  :(
